Site_SAP,Year_Period,Summary_Portfolio,Material,KeyField,Uom,Value,NewValue,Units_Required,MaterialDescription
5502,2021_03,LPET,215671,Total,ZUC,39225.0,235350.0,196125.0,2.25LEPET X6 COCA-COLA
5558,2021_03,LPET,215671,Total,ZUC,31754.0,190524.0,158770.0,2.25LEPET X6 COCA-COLA
5501,2021_03,LPET,215671,Total,ZUC,20546.0,123276.0,102730.0,2.25LEPET X6 COCA-COLA
5506,2021_03,LPET,215671,Total,ZUC,37357.0,224142.0,186785.0,2.25LEPET X6 COCA-COLA
5556,2021_03,LPET,215671,Total,ZUC,20546.0,123276.0,102730.0,2.25LEPET X6 COCA-COLA
5559,2021_03,LPET,215671,Total,ZUC,37357.0,224142.0,186785.0,2.25LEPET X6 COCA-COLA
